artist,style,genre,movement,tags,url,img,file_name
Lo Scheggia,Early Renaissance,"genre painting,nude painting (nu)",Early Renaissance,"['Human', 'Muscle', 'Humanbody']",https://www.wikiart.org/en/lo-scheggia/desco-da-parto-con-due-fanciulli-che-giocano,https://uploads0.wikiart.org/00218/images/lo-scheggia/lo-scheggia-desco-da-parto-con-due-fanciulli-che-giocano.JPG!Large.JPG,3338-lo-scheggia-desco-da-parto-con-due-fanciulli-che-giocano.JPG!Large.JPG
Lo Scheggia,Early Renaissance,nude painting (nu),Early Renaissance,"['Arm', 'Human']",https://www.wikiart.org/en/lo-scheggia/reclining-youth,https://uploads7.wikiart.org/00218/images/lo-scheggia/lo-scheggia-reclining-youth-wga20987.jpg!Large.jpg,3341-lo-scheggia-reclining-youth-wga20987.jpg
Gentile Bellini,High Renaissance,nude painting (nu),Early Renaissance,"['Mythology', 'Beauty']",https://www.wikiart.org/en/gentile-bellini/junge-frau-bei-der-toilette,https://uploads5.wikiart.org/00290/images/gentile-bellini/giovanni-bellini-giovane-donna-nuda-allo-specchio.jpg!Large.jpg,3689-giovanni-bellini-giovane-donna-nuda-allo-specchio.jpg
Antonio del Pollaiolo,Early Renaissance,nude painting (nu),Early Renaissance,"['History', 'Ancienthistory', 'Stonecarving']",https://www.wikiart.org/en/antonio-del-pollaiolo/nude-dancers-1465,https://uploads1.wikiart.org/00247/images/antonio-del-pollaiolo/antonio-del-pollaiolo-nudi-danzanti.jpg!Large.jpg,3699-antonio-del-pollaiolo-nudi-danzanti.jpg
Antonio del Pollaiolo,Early Renaissance,"nude painting (nu),mythological painting",Early Renaissance,"['Human', 'Organism', 'Sketch']",https://www.wikiart.org/en/antonio-del-pollaiolo/battle-of-the-nudes-1475,https://uploads4.wikiart.org/00245/images/antonio-del-pollaiolo/battle-of-the-naked-men-metny.jpg!Large.jpg,3709-battle-of-the-naked-men-metny.jpg
Pietro Perugino,High Renaissance,nude painting (nu),High Renaissance,"['male-nude', 'Human', 'Male', 'Mythology', 'Humanbody', 'Barechested']",https://www.wikiart.org/en/pietro-perugino/four-naked,https://uploads6.wikiart.org/images/pietro-perugino/four-naked.jpg!Large.jpg,5156-four-naked.jpg
Piero di Cosimo,Unknown,"portrait,nude painting (nu)",High Renaissance,,https://www.wikiart.org/en/piero-di-cosimo/portrait-of-simonetta-vespucci-as-cleopatra-1490,https://uploads8.wikiart.org/images/piero-di-cosimo/portrait-of-simonetta-vespucci-as-cleopatra-1490.jpg!Large.jpg,5580-portrait-of-simonetta-vespucci-as-cleopatra-1490.jpg
Michelangelo,High Renaissance,nude painting (nu),High Renaissance,"['male-nude', 'Male', 'Mythology']",https://www.wikiart.org/en/michelangelo/ignudo,https://uploads8.wikiart.org/images/michelangelo/ignudo.jpg!Large.jpg,5750-ignudo.jpg
Michelangelo,High Renaissance,nude painting (nu),High Renaissance,['male-nude'],https://www.wikiart.org/en/michelangelo/ignudo-1,https://uploads0.wikiart.org/images/michelangelo/ignudo-1.jpg,5751-ignudo-1.jpg
Michelangelo,High Renaissance,nude painting (nu),High Renaissance,"['male-nude', 'Mythology', 'Male', 'Statue', 'Chest']",https://www.wikiart.org/en/michelangelo/ignudo-2,https://uploads0.wikiart.org/images/michelangelo/ignudo-2.jpg,5752-ignudo-2.jpg
Michelangelo,High Renaissance,nude painting (nu),High Renaissance,"['male-nude', 'Barechested', 'Male', 'Muscle', 'Chest', 'Humanbody']",https://www.wikiart.org/en/michelangelo/ignudo-3,https://uploads1.wikiart.org/images/michelangelo/ignudo-3.jpg!Large.jpg,5753-ignudo-3.jpg
Michelangelo,High Renaissance,nude painting (nu),High Renaissance,"['male-nude', 'Male', 'Mythology', 'Muscle', 'Barechested']",https://www.wikiart.org/en/michelangelo/ignudo-4,https://uploads1.wikiart.org/images/michelangelo/ignudo-4.jpg!Large.jpg,5754-ignudo-4.jpg
Michelangelo,High Renaissance,nude painting (nu),High Renaissance,"['male-nude', 'Male', 'Muscle', 'Arm', 'Leg', 'Mythology', 'Humanbody']",https://www.wikiart.org/en/michelangelo/ignudo-5,https://uploads1.wikiart.org/images/michelangelo/ignudo-5.jpg!Large.jpg,5755-ignudo-5.jpg
Michelangelo,High Renaissance,nude painting (nu),High Renaissance,"['male-nude', 'Male', 'Muscle', 'Barechested', 'Chest', 'Mythology', 'Humanbody']",https://www.wikiart.org/en/michelangelo/ignudo-6,https://uploads1.wikiart.org/images/michelangelo/ignudo-6.jpg!Large.jpg,5756-ignudo-6.jpg
Michelangelo,High Renaissance,nude painting (nu),High Renaissance,"['male-nude', 'Mythology']",https://www.wikiart.org/en/michelangelo/ignudo-7,https://uploads1.wikiart.org/images/michelangelo/ignudo-7.jpg!Large.jpg,5757-ignudo-7.jpg
Michelangelo,High Renaissance,nude painting (nu),High Renaissance,"['male-nude', 'Mythology', 'Humanbody']",https://www.wikiart.org/en/michelangelo/ignudo-8,https://uploads1.wikiart.org/images/michelangelo/ignudo-8.jpg!Large.jpg,5758-ignudo-8.jpg
Michelangelo,High Renaissance,nude painting (nu),High Renaissance,"['male-nude', 'Male', 'Muscle', 'Barechested', 'Leg', 'Humanbody']",https://www.wikiart.org/en/michelangelo/ignudo-9,https://uploads1.wikiart.org/images/michelangelo/ignudo-9.jpg!Large.jpg,5759-ignudo-9.jpg
Michelangelo,High Renaissance,nude painting (nu),High Renaissance,"['male-nude', 'Male', 'Muscle', 'Barechested', 'Humanbody']",https://www.wikiart.org/en/michelangelo/ignudo-10,https://uploads2.wikiart.org/images/michelangelo/ignudo-10.jpg!Large.jpg,5760-ignudo-10.jpg
Michelangelo,High Renaissance,nude painting (nu),High Renaissance,"['male-nude', 'Mythology', 'Male', 'Leg', 'Humanbody']",https://www.wikiart.org/en/michelangelo/ignudo-11,https://uploads2.wikiart.org/images/michelangelo/ignudo-11.jpg!Large.jpg,5761-ignudo-11.jpg
