artist,style,genre,movement,tags,url,img,file_name
Carolus-Duran,Realism,portrait,Realism,,https://www.wikiart.org/en/carolus-duran/the-artists-daughter-marie-anne-1874,https://uploads2.wikiart.org/00120/images/carolus-duran/the-artist-s-daughter-marie-anne-1874.jpg!Large.jpg,67741-the-artist-s-daughter-marie-anne-1874.jpg
Paul Cezanne,Post-Impressionism,self-portrait,Post-Impressionism,"['Chin', 'Facialhair', 'Head', 'Forehead', 'Beard', 'Cheek']",https://www.wikiart.org/en/paul-cezanne/self-portrait-with-white-turbaned-detail-1882,https://uploads2.wikiart.org/images/paul-cezanne/self-portrait-with-white-turbaned-detail-1882.jpg!Large.jpg,112848-self-portrait-with-white-turbaned-detail-1882.jpg
Chaibia Talal,Outsider art,self-portrait,Outsider art (Art brut),,https://www.wikiart.org/en/chaibia-talal/le-peintre-1974,https://uploads8.wikiart.org/00334/images/chaibia-talal/le-peintre-1974.jpg!Large.jpg,216764-le-peintre-1974.jpg
Joseph Ducreux,Rococo,"self-portrait,tronie",Rococo,,https://www.wikiart.org/en/joseph-ducreux/le-discret-1790,https://uploads0.wikiart.org/images/joseph-ducreux/le-discret-1790.jpg,27205-le-discret-1790.jpg
Stefan Dimitrescu,Post-Impressionism,portrait,Impressionism,,https://www.wikiart.org/en/stefan-dimitrescu/turks-at-the-caf-1930,https://uploads1.wikiart.org/images/stefan-dimitrescu/turks-at-the-caf-1930.jpg!Large.jpg,107869-turks-at-the-caf-1930.jpg
Gerard van Honthorst,Baroque,portrait,Baroque,"['Hair', 'Beauty', 'Hairstyle']",https://www.wikiart.org/en/gerard-van-honthorst/princess-sophia-later-duchess-of-brunswick-luneburg-electress-of-hanover-1648,https://uploads0.wikiart.org/00310/images/gerard-van-honthorst/van-honthorst-sophie-of-the-palatinate-electress-royal-collection.jpg!Large.jpg,13111-van-honthorst-sophie-of-the-palatinate-electress-royal-collection.jpg
Marcel Janco,Cubism,portrait,Dada,,https://www.wikiart.org/en/marcel-janco/girl-portrait-1930,https://uploads2.wikiart.org/images/marcel-janco/girl-portrait-1930.jpg!Large.jpg,169913-girl-portrait-1930.jpg
Viktor Shatalin,Socialist Realism,portrait,Socialist Realism,,https://www.wikiart.org/en/viktor-shatalin/portrait-of-artists-wife-1960,https://uploads7.wikiart.org/00125/images/viktor-shatalin/portrait-of-artist-s-wife-1960-c.jpg,195889-portrait-of-artist-s-wife-1960-c.jpg
Jacques-Louis David,Neoclassicism,portrait,Neoclassicism,['male-portraits'],https://www.wikiart.org/en/jacques-louis-david/portrait-of-jean-pierre-delahaye,https://uploads4.wikiart.org/00381/images/jacques-louis-david/1-portrait-of-jean-pierre-delahaye-jacques-louis-david.jpg!Large.jpg,30952-1-portrait-of-jean-pierre-delahaye-jacques-louis-david.jpg
Ilya Repin,Realism,portrait,Realism,['Gentleman'],https://www.wikiart.org/en/ilya-repin/portrait-of-lawyer-anatoly-fyodorovichm-koni-1898,https://uploads4.wikiart.org/images/ilya-repin/portrait-of-lawyer-anatoly-fyodorovichm-koni-1898.jpg!Large.jpg,70578-portrait-of-lawyer-anatoly-fyodorovichm-koni-1898.jpg
Dana Schutz,Neo-Expressionism,portrait,Contemporary,"['Blond', 'summer', 'Fun', 'Longhair']",https://www.wikiart.org/en/dana-schutz/frank-in-the-desert-2002,https://uploads7.wikiart.org/00144/images/dana-schutz/frank-in-the-desert-2002.jpg!Large.jpg,250016-frank-in-the-desert-2002.jpg
Luca Signorelli,High Renaissance,portrait,High Renaissance,"['male-portraits', 'famous-people', 'Pictureframe']",https://www.wikiart.org/en/luca-signorelli/claudian-1502,https://uploads0.wikiart.org/images/luca-signorelli/claudian-1502.jpg!Large.jpg,4996-claudian-1502.jpg
Benjamin Constant,Romanticism,portrait,Romanticism,['Lady'],https://www.wikiart.org/en/benjamin-constant/portrait-of-mme-m-s-derviz-1899,https://uploads7.wikiart.org/00257/images/benjamin-constant/benjamin-constant-portrait-of-mme-m-s-derviz.jpg!Large.jpg,50316-benjamin-constant-portrait-of-mme-m-s-derviz.jpg
Graham Sutherland,Expressionism,portrait,Surrealism,,https://www.wikiart.org/en/graham-sutherland/sir-edward-langton-iliffe-1976,https://uploads8.wikiart.org/00229/images/graham-sutherland/sir-edward-langton-iliffe-1976.jpg!Large.jpg,184306-sir-edward-langton-iliffe-1976.jpg
Boris Kustodiev,Art Nouveau (Modern),portrait,Realism,"['male-portraits', 'famous-people', 'Tsar-Nicholas-II', 'Monarch', 'Facialhair', 'Prophet']",https://www.wikiart.org/en/boris-kustodiev/tsar-nicholas-ii-1915,https://uploads8.wikiart.org/images/boris-kustodiev/tsar-nicholas-ii-1915.jpg!Large.jpg,76403-tsar-nicholas-ii-1915.jpg
Nikolai Kuznetsov,Realism,portrait,Realism,['Lady'],https://www.wikiart.org/en/nikolai-dmitriyevich-kuznetsov/portrait-of-rakhily-semenovna-isakovich-1899,https://uploads0.wikiart.org/00162/images/nikolai-dmitriyevich-kuznetsov/woman.jpg!Large.jpg,72040-woman.jpg
Artemisia Gentileschi,Baroque,portrait,Baroque,"['Lady', 'Monarch']",https://www.wikiart.org/en/artemisia-gentileschi/dame-assise-de-trois-quarts,https://uploads1.wikiart.org/images/artemisia-gentileschi/dame-assise-de-trois-quarts.jpg,13466-dame-assise-de-trois-quarts.jpg
Vincent van Gogh,Post-Impressionism,portrait,Post-Impressionism,['female-portraits'],https://www.wikiart.org/en/vincent-van-gogh/an-old-woman-of-arles-1888,https://uploads8.wikiart.org/images/vincent-van-gogh/an-old-woman-of-arles-1888(1).jpg!Large.jpg,114949-an-old-woman-of-arles-1888(1).jpg
Dimitris Mytaras,Expressionism,portrait,Expressionism,,https://www.wikiart.org/en/dimitris-mytaras/untitled-6,https://uploads8.wikiart.org/images/dimitris-mytaras/untitled(6).jpg!Large.jpg,138702-untitled(6).jpg
