,artist,style,genre,movement,tags,url,img,file_name,detections,nude,gender
0,Lo Scheggia,Early Renaissance,"genre painting,nude painting (nu)",Early Renaissance,"['Human', 'Muscle', 'Humanbody']",https://www.wikiart.org/en/lo-scheggia/desco-da-parto-con-due-fanciulli-che-giocano,https://uploads0.wikiart.org/00218/images/lo-scheggia/lo-scheggia-desco-da-parto-con-due-fanciulli-che-giocano.JPG!Large.JPG,3338-lo-scheggia-desco-da-parto-con-due-fanciulli-che-giocano.JPG!Large.JPG,"[{'class': 'FEET_EXPOSED', 'score': 0.7517522573471069, 'box': [236, 441, 72, 39]}, {'class': 'BELLY_EXPOSED', 'score': 0.6504230499267578, 'box': [206, 244, 56, 58]}, {'class': 'FACE_MALE', 'score': 0.6364116072654724, 'box': [198, 147, 48, 43]}, {'class': 'FEET_EXPOSED', 'score': 0.6316493153572083, 'box': [138, 436, 56, 44]}, {'class': 'FEET_EXPOSED', 'score': 0.6191373467445374, 'box': [304, 424, 62, 38]}, {'class': 'FACE_MALE', 'score': 0.47303861379623413, 'box': [359, 153, 33, 38]}, {'class': 'MALE_BREAST_EXPOSED', 'score': 0.4729433059692383, 'box': [193, 206, 40, 31]}, {'class': 'FEET_EXPOSED', 'score': 0.3902239203453064, 'box': [411, 434, 50, 31]}, {'class': 'ARMPITS_EXPOSED', 'score': 0.37736475467681885, 'box': [177, 205, 23, 25]}, {'class': 'BUTTOCKS_EXPOSED', 'score': 0.37672099471092224, 'box': [355, 288, 68, 45]}, {'class': 'ARMPITS_EXPOSED', 'score': 0.3127300441265106, 'box': [419, 216, 27, 29]}, {'class': 'FEMALE_GENITALIA_EXPOSED', 'score': 0.2508052587509155, 'box': [222, 311, 28, 32]}]",True,unknown
1,Lo Scheggia,Early Renaissance,nude painting (nu),Early Renaissance,"['Arm', 'Human']",https://www.wikiart.org/en/lo-scheggia/reclining-youth,https://uploads7.wikiart.org/00218/images/lo-scheggia/lo-scheggia-reclining-youth-wga20987.jpg!Large.jpg,3341-lo-scheggia-reclining-youth-wga20987.jpg,,False,unknown
2,Gentile Bellini,High Renaissance,nude painting (nu),Early Renaissance,"['Mythology', 'Beauty']",https://www.wikiart.org/en/gentile-bellini/junge-frau-bei-der-toilette,https://uploads5.wikiart.org/00290/images/gentile-bellini/giovanni-bellini-giovane-donna-nuda-allo-specchio.jpg!Large.jpg,3689-giovanni-bellini-giovane-donna-nuda-allo-specchio.jpg,"[{'class': 'FACE_FEMALE', 'score': 0.8134025931358337, 'box': [328, 73, 103, 100]}]",False,female
3,Antonio del Pollaiolo,Early Renaissance,nude painting (nu),Early Renaissance,"['History', 'Ancienthistory', 'Stonecarving']",https://www.wikiart.org/en/antonio-del-pollaiolo/nude-dancers-1465,https://uploads1.wikiart.org/00247/images/antonio-del-pollaiolo/antonio-del-pollaiolo-nudi-danzanti.jpg!Large.jpg,3699-antonio-del-pollaiolo-nudi-danzanti.jpg,,False,unknown
4,Antonio del Pollaiolo,Early Renaissance,"nude painting (nu),mythological painting",Early Renaissance,"['Human', 'Organism', 'Sketch']",https://www.wikiart.org/en/antonio-del-pollaiolo/battle-of-the-nudes-1475,https://uploads4.wikiart.org/00245/images/antonio-del-pollaiolo/battle-of-the-naked-men-metny.jpg!Large.jpg,3709-battle-of-the-naked-men-metny.jpg,,False,unknown
5,Pietro Perugino,High Renaissance,nude painting (nu),High Renaissance,"['male-nude', 'Human', 'Male', 'Mythology', 'Humanbody', 'Barechested']",https://www.wikiart.org/en/pietro-perugino/four-naked,https://uploads6.wikiart.org/images/pietro-perugino/four-naked.jpg!Large.jpg,5156-four-naked.jpg,"[{'class': 'FACE_MALE', 'score': 0.5253464579582214, 'box': [76, 81, 44, 38]}, {'class': 'FEET_EXPOSED', 'score': 0.3986944854259491, 'box': [4, 479, 49, 50]}, {'class': 'MALE_BREAST_EXPOSED', 'score': 0.31218570470809937, 'box': [102, 162, 47, 36]}, {'class': 'FEET_EXPOSED', 'score': 0.27405548095703125, 'box': [271, 451, 38, 46]}]",False,male
6,Piero di Cosimo,Unknown,"portrait,nude painting (nu)",High Renaissance,,https://www.wikiart.org/en/piero-di-cosimo/portrait-of-simonetta-vespucci-as-cleopatra-1490,https://uploads8.wikiart.org/images/piero-di-cosimo/portrait-of-simonetta-vespucci-as-cleopatra-1490.jpg!Large.jpg,5580-portrait-of-simonetta-vespucci-as-cleopatra-1490.jpg,"[{'class': 'FACE_FEMALE', 'score': 0.6916689872741699, 'box': [116, 102, 109, 126]}, {'class': 'FEMALE_BREAST_EXPOSED', 'score': 0.5655773878097534, 'box': [70, 411, 69, 91]}, {'class': 'ARMPITS_EXPOSED', 'score': 0.4893264174461365, 'box': [216, 427, 55, 64]}, {'class': 'FEMALE_BREAST_EXPOSED', 'score': 0.45061033964157104, 'box': [123, 416, 109, 107]}]",True,female
7,Michelangelo,High Renaissance,nude painting (nu),High Renaissance,"['male-nude', 'Male', 'Mythology']",https://www.wikiart.org/en/michelangelo/ignudo,https://uploads8.wikiart.org/images/michelangelo/ignudo.jpg!Large.jpg,5750-ignudo.jpg,"[{'class': 'FEET_EXPOSED', 'score': 0.6677422523498535, 'box': [48, 491, 70, 94]}, {'class': 'FACE_FEMALE', 'score': 0.6525924205780029, 'box': [192, 79, 72, 70]}, {'class': 'FEET_EXPOSED', 'score': 0.4836543798446655, 'box': [306, 548, 54, 52]}, {'class': 'FEET_EXPOSED', 'score': 0.31690889596939087, 'box': [25, 400, 90, 63]}]",False,female
8,Michelangelo,High Renaissance,nude painting (nu),High Renaissance,['male-nude'],https://www.wikiart.org/en/michelangelo/ignudo-1,https://uploads0.wikiart.org/images/michelangelo/ignudo-1.jpg,5751-ignudo-1.jpg,"[{'class': 'FEET_EXPOSED', 'score': 0.4489794969558716, 'box': [283, 359, 55, 69]}, {'class': 'FEET_EXPOSED', 'score': 0.3771089017391205, 'box': [235, 365, 65, 44]}]",False,unknown
9,Michelangelo,High Renaissance,nude painting (nu),High Renaissance,"['male-nude', 'Mythology', 'Male', 'Statue', 'Chest']",https://www.wikiart.org/en/michelangelo/ignudo-2,https://uploads0.wikiart.org/images/michelangelo/ignudo-2.jpg,5752-ignudo-2.jpg,"[{'class': 'FEET_EXPOSED', 'score': 0.7611621022224426, 'box': [18, 414, 55, 54]}, {'class': 'MALE_BREAST_EXPOSED', 'score': 0.5579869151115417, 'box': [139, 160, 53, 35]}, {'class': 'FACE_MALE', 'score': 0.5500938296318054, 'box': [161, 70, 43, 45]}, {'class': 'FEET_EXPOSED', 'score': 0.527930498123169, 'box': [104, 381, 51, 44]}, {'class': 'BELLY_EXPOSED', 'score': 0.49781131744384766, 'box': [130, 202, 69, 58]}]",False,male
